date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:21:40	149595/149595	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:33%20GMT	https://cartzilla.createx.studio/shop-list-rs.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/shop-list-rs.html	(from https://cartzilla.createx.studio/index.html)
09:21:40	153746/153746	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:33%20GMT	https://cartzilla.createx.studio/shop-list-ft.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/shop-list-ft.html	(from https://cartzilla.createx.studio/index.html)
09:21:41	56012/56012	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:34%20GMT	https://cartzilla.createx.studio/marketplace-category.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/marketplace-category.html	(from https://cartzilla.createx.studio/index.html)
09:21:42	65056/65056	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:34%20GMT	https://cartzilla.createx.studio/marketplace-single.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/marketplace-single.html	(from https://cartzilla.createx.studio/index.html)
09:21:42	44835/44835	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:35%20GMT	https://cartzilla.createx.studio/marketplace-vendor.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/marketplace-vendor.html	(from https://cartzilla.createx.studio/index.html)
09:21:43	33931/33931	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:36%20GMT	https://cartzilla.createx.studio/marketplace-cart.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/marketplace-cart.html	(from https://cartzilla.createx.studio/index.html)
09:21:43	39880/39880	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:36%20GMT	https://cartzilla.createx.studio/marketplace-checkout.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/marketplace-checkout.html	(from https://cartzilla.createx.studio/index.html)
09:21:44	70075/70075	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:37%20GMT	https://cartzilla.createx.studio/shop-categories.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/shop-categories.html	(from https://cartzilla.createx.studio/index.html)
09:21:44	108030/108030	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:37%20GMT	https://cartzilla.createx.studio/shop-single-v1.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/shop-single-v1.html	(from https://cartzilla.createx.studio/index.html)
09:21:44	130900/130900	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:37%20GMT	https://cartzilla.createx.studio/shop-single-v2.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/shop-single-v2.html	(from https://cartzilla.createx.studio/index.html)
09:21:45	65073/65073	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:38%20GMT	https://cartzilla.createx.studio/shop-cart.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/shop-cart.html	(from https://cartzilla.createx.studio/index.html)
09:21:46	65100/65100	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:39%20GMT	https://cartzilla.createx.studio/checkout-details.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/checkout-details.html	(from https://cartzilla.createx.studio/index.html)
09:21:46	67202/67202	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:39%20GMT	https://cartzilla.createx.studio/checkout-shipping.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/checkout-shipping.html	(from https://cartzilla.createx.studio/index.html)
09:21:47	64970/64970	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:40%20GMT	https://cartzilla.createx.studio/checkout-payment.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/checkout-payment.html	(from https://cartzilla.createx.studio/index.html)
09:21:48	64196/64196	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:40%20GMT	https://cartzilla.createx.studio/checkout-review.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/checkout-review.html	(from https://cartzilla.createx.studio/index.html)
09:21:48	54053/54053	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:41%20GMT	https://cartzilla.createx.studio/checkout-complete.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/checkout-complete.html	(from https://cartzilla.createx.studio/index.html)
09:21:48	63680/63680	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:41%20GMT	https://cartzilla.createx.studio/order-tracking.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/order-tracking.html	(from https://cartzilla.createx.studio/index.html)
09:21:49	105050/105050	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:42%20GMT	https://cartzilla.createx.studio/comparison.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/comparison.html	(from https://cartzilla.createx.studio/index.html)
09:21:50	97240/97240	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:42%20GMT	https://cartzilla.createx.studio/grocery-catalog.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/grocery-catalog.html	(from https://cartzilla.createx.studio/index.html)
09:21:50	87873/87873	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:43%20GMT	https://cartzilla.createx.studio/grocery-single.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/grocery-single.html	(from https://cartzilla.createx.studio/index.html)
09:21:51	85382/85382	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:44%20GMT	https://cartzilla.createx.studio/grocery-checkout.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/grocery-checkout.html	(from https://cartzilla.createx.studio/index.html)
09:21:52	35421/35421	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:44%20GMT	https://cartzilla.createx.studio/food-delivery-category.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/food-delivery-category.html	(from https://cartzilla.createx.studio/index.html)
09:21:52	51630/51630	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:45%20GMT	https://cartzilla.createx.studio/food-delivery-single.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/food-delivery-single.html	(from https://cartzilla.createx.studio/index.html)
09:21:53	30794/30794	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:45%20GMT	https://cartzilla.createx.studio/food-delivery-cart.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/food-delivery-cart.html	(from https://cartzilla.createx.studio/index.html)
09:21:53	31205/31205	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:46%20GMT	https://cartzilla.createx.studio/food-delivery-checkout.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/food-delivery-checkout.html	(from https://cartzilla.createx.studio/index.html)
